Party Code,Outlet Code,Transaction Type,Trans Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Collection,Product Category,Sub Category,Dsd Size,Solitaire Uid,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Sol Pcs,Collection Charge,Solitaire Mrp,Solitaire Pj Masrgin,Solitaire Extra Pj Masrgin,Sol Customer Disc,Solitaire Net Amount,Diamond Shape,Diamond Color,Diamond Clarity,Diamond Wt,Diamond Pcs,Diamond Mrp,Diamond Pj Margin,Diamond Customer Disc,Diamond Net Amount,Gross Weight,Gold Net Wt,Purity,Metal Colour,Gold Mrp,Gold Pj Margin,Metal Invoice Amt,Paltinum Net Wt,Platinum Pj Margin,Platinum Mrp,Other Metal Mrp,Rco Amount,Sco Amount,Total Customer Discount,Total Pj Extra Margin,Total Pj Margin,Taxable Amount,Tax Amount,Total Amount,Row Status,Session Id,Sales Person,Net Wt,Order For,Order Date,Order No,Order Party,City,Zone
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,11D2Q,MFG-D P DESIGNS PVT LTD,RS,DCM8757-0.23-0.29-18KT-18,Generic,RING,Couple Male Ring,,,,,,,,0,,,,,,,,,,,,,,,6.65002,6.65,18KT,Yellow White,49495.95,0,49495.95,0,0,0,0,0,0,0,0,0,49495.95,1484.8785,49495.95,0,1683276,JIGNESH MEHTA,6.65,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,16L2Z,MFG-D P DESIGNS PVT LTD,RS,DRM8921-0.30-0.38-18KT-16,Generic,RING,Male Ring,,,,,,,,0,,,,,,,,,,,,,,,5.86002,5.86,18KT,Yellow,43615.98,0,43615.98,0,0,0,0,0,0,0,0,0,43615.98,1308.4794,43615.98,0,1683276,JIGNESH MEHTA,5.86,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,17N3J,MFG-D P DESIGNS PVT LTD,RS,DRF9667-0.18-0.22-18KT-13,Generic,RING,Female Ring,,,,,,,,0,,,,,,,,,,,,,,,2.25602,2.256,18KT,Yellow,16791.408,0,16791.408,0,0,0,0,0,0,0,0,0,16791.408,503.74224,16791.408,0,1683276,JIGNESH MEHTA,2.256,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45814,DS0412/25-26,1,10E6V,MFG-D P DESIGNS PVT LTD,RS,DRF9394-0.10-0.13-18KT-11,Generic,RING,Female Ring,,,,,,,,0,,,,,,,,,,,,,,,1.6782,1.678,18KT,Yellow,12489.354,0,12489.354,0,0,0,0,0,0,0,0,0,12489.354,374.68062,12489.354,0,1683276,JIGNESH MEHTA,1.678,-,16/02/2024,-,,MUMBAI       ,EAST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,93HC9,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DSC11849-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,0.10-0.13,12Z1I60,RND,EF,VVS,0.1,1,0,0,0,0,0,0,,,,,,,,,,1.026,1.006,22KT,Yellow,0,0,0,0,0,0,0,0,0,0,0,3479.88,0,869.97,25519.12,0,1683276,DIBYAJYOTI HAJRA,1.006,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,71CC5,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DSC11849-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,0.10-0.13,14V4T52,RND,EF,VVS,0.1,1,0,0,0,0,0,0,,,,,,,,,,1.052,1.032,22KT,Yellow,0,0,0,0,0,0,0,0,0,0,0,3479.88,0,869.97,25519.12,0,1683276,DIBYAJYOTI HAJRA,1.032,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,71XG1,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DLK11872---BR--,Generic,ACCESSORIES,Locket,,,,,,,,0,,,,,,,,,,,,,,,2.31,0,BR,Yellow,0,0,0,0,0,0,0,0,0,0,0,239.88,0,59.97,1759.12,0,1683276,DIBYAJYOTI HAJRA,2.31,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,4YGX9,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DSC11849-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,0.10-0.13,16R9C47,RND,EF,VVS,0.11,1,0,0,0,0,0,0,,,,,,,,,,1.033,1.011,22KT,Yellow,0,0,0,0,0,0,0,0,0,0,0,3479.88,0,869.97,25519.12,0,1683276,DIBYAJYOTI HAJRA,1.011,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,74AZ4,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DSC11849-0.10-0.13-22KT--,Generic,COIN,Solitaire Coin,0.10-0.13,16P5N15,RND,EF,VVS,0.1,1,0,0,0,0,0,0,,,,,,,,,,1.047,1.027,22KT,Yellow,0,0,0,0,0,0,0,0,0,0,0,3479.88,0,869.97,25519.12,0,1683276,DIBYAJYOTI HAJRA,1.027,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,12VZ8,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DLK11872---BR--,Generic,ACCESSORIES,Locket,,,,,,,,0,,,,,,,,,,,,,,,2.39,0,BR,Yellow,0,0,0,0,0,0,0,0,0,0,0,239.88,0,59.97,1759.12,0,1683276,DIBYAJYOTI HAJRA,2.39,-,16/02/2024,-,,PUNE         ,WEST
PJ002,PJ002,MEMO INVOICE,INV,Coin-Locket,45785,DS0194/25-26,1,57NQ2,RANKA JEWELLERS PC PRIVATE LIMITED,RANKA-T,DLK11872---BR--,Generic,ACCESSORIES,Locket,,,,,,,,0,,,,,,,,,,,,,,,2.3,0,BR,Yellow,0,0,0,0,0,0,0,0,0,0,0,239.88,0,59.97,1759.12,0,1683276,DIBYAJYOTI HAJRA,2.3,-,16/02/2024,-,,PUNE         ,WEST
PJ015,PJ015,MEMO INVOICE,INV,TCS SALES,45810,DS0387/25-26,1,73M11,ALANKAR JEWELLERS,ALANKAR,DNP8409-0.14-0.17-18KT--,Generic,NOSE PIN,Nose Pin,0.14-0.17,11K4S29,RND,EF,VVS,0.16,1,0,33280,7321.6,0,0,25958.4,,,,,,,,,,0.32,0.287,18KT,Yellow,7799.799,1169.96985,6629.82915,0,0,0,0,0,0,0,0,8491.56985,32588.22916,977.6468747,32588.22916,0,1683276,BIJOY KUNDER,0.287,-,16/02/2024,-,,Patna        ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,15Y9K,MFG-D P DESIGNS PVT LTD,RS,DEF9225-0.18-0.22-18KT--,Generic,EARRING,Female Earring,,,,,,,,0,,,,,,RND,GH,VS,0.48,92,24072.48,0,0,24072.48,3.333,3.237,18KT,Rose,23209.29,0,23209.29,0,0,0,0,0,0,0,0,0,47281.77,1418.4532,47281.77,0,1683276,JIGNESH MEHTA,3.237,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,4PC7D,MFG-D P DESIGNS PVT LTD,RS,DRM9018-0.39-0.44-18KT-18,Generic,RING,Male Ring,,,,,,,,0,,,,,,,,,,,,,,,5.4402,5.44,18KT,White,39004.8,0,39004.8,0,0,0,0,0,0,0,0,0,39004.8,1170.144,39004.8,0,1683276,JIGNESH MEHTA,5.44,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,16J1V,MFG-D P DESIGNS PVT LTD,RS,DRM8932-0.39-0.44-18KT-23,Generic,RING,Male Ring,,,,,,,,0,,,,,,,,,,,,,,,11.368,11.368,18KT,Yellow,81508.56,0,81508.56,0,0,0,0,0,0,0,0,0,81508.56,2445.2568,81508.56,0,1683276,JIGNESH MEHTA,11.368,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,17H0Z,MFG-D P DESIGNS PVT LTD,RS,DRF10890-0.10-0.13-18KT-12,Generic,RING,Female Ring,,,,,,,,0,,,,,,,,,,,,,,,2.7322,2.732,18KT,Yellow,19588.44,0,19588.44,0,0,0,0,0,0,0,0,0,19588.44,587.6532,19588.44,0,1683276,JIGNESH MEHTA,2.732,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,4E965,MFG-D P DESIGNS PVT LTD,RS,DEF8589-0.14-0.17-18KT--,Generic,EARRING,Female Earring,,,,,,,,0,,,,,,,,,,,,,,,2.936,2.936,18KT,Yellow,21051.12,0,21051.12,0,0,0,0,0,0,0,0,0,21051.12,631.5336,21051.12,0,1683276,JIGNESH MEHTA,2.936,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,15G4V,MFG-D P DESIGNS PVT LTD,RS,DRM8943-0.39-0.44-18KT-20,Generic,RING,Male Ring,,,,,,,,0,,,,,,,,,,,,,,,7.194,7.194,18KT,Yellow,51580.98,0,51580.98,0,0,0,0,0,0,0,0,0,51580.98,1547.4294,51580.98,0,1683276,JIGNESH MEHTA,7.194,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,12C9X,MFG-D P DESIGNS PVT LTD,RS,DRF8187-0.39-0.44-18KT-12,Generic,RING,Female Ring,,,,,,,,0,,,,,,RND,GH,VS,0.18,22,9027.18,0,0,9027.18,3.9742,3.938,18KT,Rose White,28235.46,0,28235.46,0,0,0,0,0,0,0,0,0,37262.64,1117.8792,37262.64,0,1683276,JIGNESH MEHTA,3.938,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,18I6Y,MFG-D P DESIGNS PVT LTD,RS,DEF8610-0.18-0.22-18KT--,Generic,EARRING,Female Earring,,,,,,,,0,,,,,,,,,,,,,,,1.812,1.812,18KT,Yellow,12992.04,0,12992.04,0,0,0,0,0,0,0,0,0,12992.04,389.7612,12992.04,0,1683276,JIGNESH MEHTA,1.812,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,15U5D,MFG-D P DESIGNS PVT LTD,RS,DEF10418-0.18-0.22-18KT--,Exclusive,EARRING,Female Earring,,,,,,,,0,,,,,,RND,GH,VS,0.25,40,12537.75,0,0,12537.75,3.99102,3.941,18KT,Yellow,28256.97,0,28256.97,0,0,0,0,0,0,0,0,0,40794.72,1223.8416,40794.72,0,1683276,JIGNESH MEHTA,3.941,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,16P5G,MFG-D P DESIGNS PVT LTD,RS,DNP8419-0.10-0.13-18KT--,Generic,NOSE PIN,Nose Pin,,,,,,,,0,,,,,,,,,,,,,,,0.684,0.684,18KT,Yellow,4904.28,0,4904.28,0,0,0,0,0,0,0,0,0,4904.28,147.1284,4904.28,0,1683276,JIGNESH MEHTA,0.684,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,10U6F,MFG-D P DESIGNS PVT LTD,RS,DEF9226-0.18-0.22-18KT--,Generic,EARRING,Female Earring,,,,,,,,0,,,,,,RND,GH,VS,0.59,78,29589.09,0,0,29589.09,4.772,4.654,18KT,Rose,33369.18,0,33369.18,0,0,0,0,0,0,0,0,0,62958.27,1888.7482,62958.27,0,1683276,JIGNESH MEHTA,4.654,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,11E7F,MFG-D P DESIGNS PVT LTD,RS,DCF8897-0.39-0.44-18KT-10,Generic,RING,Couple Female Ring,,,,,,,,0,,,,,,,,,,,,,,,5.41902,5.419,18KT,Rose,38854.23,0,38854.23,0,0,0,0,0,0,0,0,0,38854.23,1165.627,38854.23,0,1683276,JIGNESH MEHTA,5.419,-,16/02/2024,-,,MUMBAI       ,EAST
WHS004,WHS004,MEMO INVOICE,INV,TCS SALES,45789,DS0217/25-26,1,16Q0G,MFG-D P DESIGNS PVT LTD,RS,DRF8261-0.18-0.22-18KT-15,Generic,RING,Female Ring,,,,,,,,0,,,,,,RND,EF,VVS,0.11,14,5516.61,0,0,5516.61,3.3002,3.278,18KT,Rose,23503.26,0,23503.26,0,0,0,0,0,0,0,0,0,29019.87,870.5962,29019.87,0,1683276,JIGNESH MEHTA,3.278,-,16/02/2024,-,,MUMBAI       ,EAST
