Party Code,Outlet Code,Trans Type,Transaction Type,Trans Category,Trans Date,Doc No,Pcs,Stock Code,Customer Name,Outlet Nickname,Design No,Product Category,Dsd Size,Solitaire Shape,Solitaire Color,Solitaire Quality,Sol Wt,Rate,Premium Per,Prem Amt,Solitaire Mrp,Solitaire Net Amount,Pj Customer Scheme Disc Amt,Customer Sch Disc Amt,Pj Disc,Policy Disc Amt,Extra Pj Disc,Extra Pj Disc Amt,Taxable Amount,Tax Amount,Total Cust Disc Amt,Total Amount,Rco,Sco,Trans Remark,Memo Type,Order No,Order Party Name,Salesperson,City,Zone
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99XT9V9,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.30-0.38-D-VVS2,SOLITAIRE,0.30-0.38,PER,D,VVS2,0.31,62534,0,0,19385.54,19385.54,0,0,0,0,0,0,19385.54,290.7831,0,19676.3231,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,64YE9N7,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.18-0.22-D-VVS1,SOLITAIRE,0.18-0.22,PER,D,VVS1,0.18,60316,0,0,10856.88,10856.88,0,0,0,0,0,0,10856.88,162.8532,0,11019.7332,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,79XJ4C9,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.14-0.17-EF-VS,SOLITAIRE,0.14-0.17,PER,EF,VS,0.17,47455,0,0,8067.35,8067.35,0,0,0,0,0,0,8067.35,121.01025,0,8188.36025,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,69FE6P9,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,PER,EF,VVS,0.16,48785,0,0,7805.6,7805.6,0,0,0,0,0,0,7805.6,117.084,0,7922.684,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,43DD4C6,H.DIPAK & CO,H.DIPAK & CO,SOL-PER-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,PER,EF,VVS,0.15,48785,0,0,7317.75,7317.75,0,0,0,0,0,0,7317.75,109.76625,0,7427.51625,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,93RD6P9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,MAQ,EF,VVS,0.17,48785,0,0,8293.45,8293.45,0,0,0,0,0,0,8293.45,124.40175,0,8417.85175,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,44KE6H3,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VS,SOLITAIRE,0.14-0.17,MAQ,EF,VS,0.16,47455,0,0,7592.8,7592.8,0,0,0,0,0,0,7592.8,113.892,0,7706.692,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,44RD9N9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VS,SOLITAIRE,0.14-0.17,MAQ,EF,VS,0.16,47455,0,0,7592.8,7592.8,0,0,0,0,0,0,7592.8,113.892,0,7706.692,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99DT7V4,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,MAQ,EF,VVS,0.16,48785,0,0,7805.6,7805.6,0,0,0,0,0,0,7805.6,117.084,0,7922.684,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,36DE4C7,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-GH-VVS,SOLITAIRE,0.14-0.17,MAQ,GH,VVS,0.16,47898,0,0,7663.68,7663.68,0,0,0,0,0,0,7663.68,114.9552,0,7778.6352,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,44EX9H6,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VVS,SOLITAIRE,0.14-0.17,MAQ,EF,VVS,0.16,48785,0,0,7805.6,7805.6,0,0,0,0,0,0,7805.6,117.084,0,7922.684,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,49DD4H9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-GH-VVS,SOLITAIRE,0.14-0.17,MAQ,GH,VVS,0.16,47898,0,0,7663.68,7663.68,0,0,0,0,0,0,7663.68,114.9552,0,7778.6352,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,62XR3U9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.14-0.17-EF-VS,SOLITAIRE,0.14-0.17,MAQ,EF,VS,0.16,47455,0,0,7592.8,7592.8,0,0,0,0,0,0,7592.8,113.892,0,7706.692,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,39XT2A6,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.10-0.13-GH-VVS,SOLITAIRE,0.10-0.13,MAQ,GH,VVS,0.13,42576,0,0,5534.88,5534.88,0,0,0,0,0,0,5534.88,83.0232,0,5617.9032,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99DY9N2,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-H-VS2,SOLITAIRE,0.30-0.38,MAQ,H,VS2,0.32,53664,0,0,17172.48,17172.48,0,0,0,0,0,0,17172.48,257.5872,0,17430.0672,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,97XE9G9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.23-0.29-H-VS2,SOLITAIRE,0.23-0.29,MAQ,H,VS2,0.28,50781,0,0,14218.68,14218.68,0,0,0,0,0,0,14218.68,213.2802,0,14431.9602,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,49YF4H7,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.18-0.22-H-VS2,SOLITAIRE,0.18-0.22,MAQ,H,VS2,0.21,49672,0,0,10431.12,10431.12,0,0,0,0,0,0,10431.12,156.4668,0,10587.5868,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,94DR9P4,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-F-VVS2,SOLITAIRE,0.39-0.44,MAQ,F,VVS2,0.41,64086,0,0,26275.26,26275.26,0,0,0,0,0,0,26275.26,394.1289,0,26669.3889,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99EX9U2,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-E-VS1,SOLITAIRE,0.39-0.44,MAQ,E,VS1,0.4,58764,0,0,23505.6,23505.6,0,0,0,0,0,0,23505.6,352.584,0,23858.184,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,94XR3P9,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-E-VS1,SOLITAIRE,0.39-0.44,MAQ,E,VS1,0.4,58764,0,0,23505.6,23505.6,0,0,0,0,0,0,23505.6,352.584,0,23858.184,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,77DD2U2,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.39-0.44-F-VS2,SOLITAIRE,0.39-0.44,MAQ,F,VS2,0.4,55881,0,0,22352.4,22352.4,0,0,0,0,0,0,22352.4,335.286,0,22687.686,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,44JR9A6,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-D-VS1,SOLITAIRE,0.30-0.38,MAQ,D,VS1,0.38,63864,0,0,24268.32,24268.32,0,0,0,0,0,0,24268.32,364.0248,0,24632.3448,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,69KX9W6,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-D-VVS2,SOLITAIRE,0.30-0.38,MAQ,D,VVS2,0.37,62534,0,0,23137.58,23137.58,0,0,0,0,0,0,23137.58,347.0637,0,23484.6437,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
WHS001,WHS001,INV,MEMO INVOICE,TCS SALES DSD,45819,DS0437/25-26,1,99XJ4W7,H.DIPAK & CO,H.DIPAK & CO,SOL-MAQ-0.30-0.38-G-VS1,SOLITAIRE,0.30-0.38,MAQ,G,VS1,0.38,55216,0,0,20982.08,20982.08,0,0,0,0,0,0,20982.08,314.7312,0,21296.8112,0,0,,Other,-,,JIGNESH MEHTA,MUMBAI,WEST
